name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
Denis_Odoi_181,0,43,0,0,1,26,1,5,31,1.3,1,0,181,0,0,194,2,0,0,1.9,10574,17.6,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,90,0,0,10,0,0,0,0,6,0,20,0,7951,0,3,0,0,1,0.0,6,696,1050,354,44,True,0,1,20
Diego_Rico_473,0,33,0,0,0,10,0,2,25,12.2,0,0,473,0,0,197,1,4,0,2.0,10866,8.0,1,2018-12-30T16:30:00Z,30 Dec 16:30,0,0,90,0,0,14,0,0,0,0,6,0,20,0,2358,1,0,0,1,4,0.0,0,-45,50,95,42,False,0,0,20
Diogo_Jota_432,0,0,0,0,0,0,0,0,0,0.0,0,0,432,0,0,199,0,0,0,0.0,10825,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,17,0,0,0,0,0,0,20,0,48964,0,0,0,3,1,0.0,0,-2443,86,2529,59,False,0,0,20
Divock_Origi_543,0,0,0,0,0,0,0,0,0,0.0,0,0,543,0,0,196,0,0,0,0.0,10936,0.0,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,0,0,0,1,0,0,0,0,0,0,20,0,3330,0,0,0,1,5,0.0,0,-185,386,571,50,True,0,0,20
Domingos_Quina_517,0,47,0,0,0,7,0,1,42,3.7,1,0,517,0,0,200,1,1,0,1.0,10910,5.2,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,53,0,0,15,0,0,0,0,4,0,20,0,7555,2,1,1,1,1,1.0,1,-182,515,697,44,True,0,0,20
Dominic_Calvert-Lewin_175,0,4,0,0,0,3,0,0,2,0.1,0,0,175,0,0,191,0,0,0,0.0,10568,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,18,0,0,3,0,0,0,0,2,0,20,0,101550,0,0,0,0,1,0.0,1,42807,46797,3990,53,False,0,0,20
Dominic_Solanke_259,0,0,0,0,0,0,0,0,0,0.0,0,0,259,0,0,196,0,0,0,0.0,10652,0.0,0,2018-12-29T17:30:00Z,29 Dec 17:30,0,0,0,0,0,1,0,0,0,0,0,0,20,0,14137,0,0,0,1,5,0.0,0,-145,109,254,47,True,0,0,20
Dwight_Gayle_325,0,0,0,0,0,0,0,0,0,0.0,0,0,325,0,0,200,0,0,0,0.0,10718,0.0,0,2018-12-29T15:00:00Z,29 Dec 15:00,0,0,0,0,0,18,0,0,0,0,0,0,20,0,3263,0,0,0,1,1,0.0,0,-18,9,27,60,False,0,0,20
Dwight_McNeil_534,0,33,1,0,0,27,1,1,25,24.0,0,0,534,0,0,192,2,0,1,15.6,10927,47.4,1,2018-12-30T14:15:00Z,30 Dec 14:15,0,0,90,1,3,19,0,0,0,0,4,0,20,0,502,4,1,2,0,2,85.0,8,4,32,28,44,True,0,0,20
Eden_Hazard_122,0,71,0,0,0,15,1,0,59,44.9,2,0,122,0,0,193,0,0,0,7.7,10515,16.4,3,2018-12-30T12:00:00Z,30 Dec 12:00,0,0,90,0,0,7,0,0,0,0,3,0,20,0,2296427,1,0,0,1,0,16.0,3,155311,179360,24049,111,False,0,0,20
