name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Bastien Meupiyou Menadjou,DEF,Wolves,0.0,0,0,0,0,0,0.0,0,639,0.00,0.00,0.00,0.00,121,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,2,0,0,0,0,0,13,0,911,0,0,0,1,0.0,0,-12,0,12,40,False,0
Radu Drăgușin,DEF,Spurs,0.0,0,0,0,0,0,0.0,0,572,0.00,0.00,0.00,0.00,129,0,0,0.0,0.0,2025-11-29T20:00:00Z,0,False,10,0,0,0,0,0,13,0,632,0,0,2,1,0.0,0,-16,15,31,45,True,0
Noah Okafor,MID,Leeds,0.0,0,0,3,0,0,0.0,0,698,0.00,0.00,0.00,0.36,126,1,0,0.2,0.0,2025-11-29T15:00:00Z,8,False,13,0,0,0,0,0,13,0,17718,0,0,2,3,2.0,1,-2831,765,3596,55,False,0
Dean Henderson,GK,Crystal Palace,0.0,0,0,16,0,4,0.0,0,253,0.00,0.00,0.00,1.19,124,2,0,3.0,30.0,2025-11-30T12:00:00Z,90,False,14,0,0,0,12,0,13,4,1002730,1,0,2,1,0.0,2,10286,29965,19679,50,True,0
Jayce Fitzgerald,MID,Man Utd,0.0,0,0,0,0,0,0.0,0,461,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2025-11-30T12:00:00Z,0,False,8,0,0,0,0,0,13,0,4782,0,0,2,1,0.0,0,-68,32,100,44,False,0
Nayef Aguerd,DEF,West Ham,0.0,0,0,0,0,0,0.0,0,607,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,12,0,0,0,0,0,13,0,5779,0,0,2,0,0.0,0,-68,0,68,44,True,0
Danny Welbeck,FWD,Brighton,0.0,0,0,9,1,3,3.4,7,178,0.01,0.08,0.07,0.49,127,0,0,2.4,7.6,2025-11-30T14:05:00Z,64,False,16,0,0,0,2,0,13,0,1367284,1,2,2,0,13.0,2,177645,225469,47824,66,False,0
Tom King,GK,Everton,0.0,0,0,0,0,0,0.0,0,630,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2025-11-29T17:30:00Z,0,False,15,0,0,0,0,0,13,0,178361,0,0,4,1,0.0,0,-576,2291,2867,39,True,0
Maxime Estève,DEF,Burnley,0.0,0,0,6,0,9,0.7,11,191,0.00,0.00,0.00,3.06,122,3,0,2.2,21.4,2025-11-29T15:00:00Z,90,False,5,0,0,0,2,0,13,0,1480835,1,2,1,3,0.0,3,-17360,18160,35520,39,False,0
Antoine Semenyo,MID,Bournemouth,0.0,0,0,6,0,0,52.8,5,82,0.50,0.60,0.10,1.28,128,3,0,8.1,5.0,2025-11-29T15:00:00Z,90,False,17,0,0,0,4,0,13,0,6281152,1,1,2,3,23.0,1,-817471,35405,852876,79,False,1
Rodrigo Muniz Carvalho,FWD,Fulham,0.0,0,0,0,0,0,0.0,0,338,0.00,0.00,0.00,0.00,129,0,0,0.0,0.0,2025-11-29T20:00:00Z,0,False,18,0,0,0,0,0,13,0,109510,0,0,2,1,0.0,0,-6682,69,6751,54,False,0
Gianluigi Donnarumma,GK,Man City,0.0,0,0,9,0,1,0.0,0,736,0.00,0.00,0.00,1.54,126,2,0,3.3,33.0,2025-11-29T15:00:00Z,90,False,11,0,0,1,9,0,13,1,1389834,1,0,2,3,0.0,5,72926,97430,24504,57,True,1
Sven Botman,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,475,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2025-11-29T17:30:00Z,0,False,9,0,0,0,0,0,13,0,67718,0,0,4,1,0.0,0,-4672,811,5483,49,False,0
Omar Alderete,DEF,Sunderland,0.0,0,0,-2,0,8,0.3,9,683,0.00,0.00,0.00,1.70,128,2,0,1.7,12.2,2025-11-29T15:00:00Z,90,False,4,0,0,0,2,0,13,0,549674,1,1,2,3,4.0,0,-23355,4221,27576,41,True,1
Nico O'Reilly,DEF,Man City,0.0,1,0,20,0,8,33.9,8,411,0.21,1.10,0.89,1.54,126,2,0,15.3,43.4,2025-11-29T15:00:00Z,90,False,11,0,0,0,3,0,13,0,1072018,1,0,2,3,76.0,4,329256,342912,13656,51,True,0
Liam Delap,FWD,Chelsea,0.0,0,0,3,0,0,0.4,1,250,0.00,0.03,0.03,0.99,123,1,0,1.1,2.0,2025-11-30T16:30:00Z,35,False,1,0,0,0,1,0,13,0,126689,0,0,1,1,9.0,1,-1317,4899,6216,62,True,0
Malcolm Ebiowei,MID,Crystal Palace,0.0,0,0,0,0,0,0.0,0,277,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2025-11-30T12:00:00Z,0,False,14,0,0,0,0,0,13,0,394,0,0,2,1,0.0,0,-6,0,6,45,True,0
Benjamin White,DEF,Arsenal,0.0,0,0,0,0,0,0.0,0,11,0.00,0.00,0.00,0.00,123,0,0,0.0,0.0,2025-11-30T16:30:00Z,0,False,7,0,0,0,0,0,13,0,50047,0,0,1,1,0.0,0,-560,751,1311,53,False,0
Miodrag Pivaš,DEF,Newcastle,0.0,0,0,0,0,0,0.0,0,483,0.00,0.00,0.00,0.00,125,0,0,0.0,0.0,2025-11-29T17:30:00Z,0,False,9,0,0,0,0,0,13,0,66007,0,0,4,1,0.0,0,6470,7573,1103,38,False,0
Freddie Woodman,GK,Liverpool,0.0,0,0,0,0,0,0.0,0,369,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,19,0,0,0,0,0,13,0,26237,0,0,2,0,0.0,0,-281,247,528,39,False,0
Adam Webster,DEF,Brighton,0.0,0,0,0,0,0,0.0,0,153,0.00,0.00,0.00,0.00,127,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,16,0,0,0,0,0,13,0,816,0,0,2,0,0.0,0,-18,26,44,44,False,0
Reece James,DEF,Chelsea,0.0,1,3,30,0,2,35.3,3,225,0.16,0.18,0.02,1.26,123,1,0,6.6,28.2,2025-11-30T16:30:00Z,90,False,1,0,0,0,2,0,13,0,933650,1,1,1,1,2.0,8,-104055,15567,119622,56,True,0
Alex Paulsen,GK,Bournemouth,0.0,0,0,0,0,0,0.0,0,70,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2025-11-29T15:00:00Z,0,False,17,0,0,0,0,0,13,0,8692,0,0,2,3,0.0,0,-131,0,131,40,False,0
