name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Adam Forshaw,MID,Newcastle,2.1,0,0,17,0,0.0,199,6,5,0,2.2,21.6,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,3,281639,1,5,0.0,1,0,0,0,50,False,0,1
Marcus Bettinelli,GK,Newcastle,0.0,0,0,0,0,0.0,183,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,881,1,5,0.0,0,0,0,0,45,False,0,1
Emile Smith Rowe,MID,Southampton,0.0,0,0,0,0,0.0,23,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,3,0,0,0,0,1,0,6701,0,2,0.0,0,0,0,0,50,False,0,1
Kyle Walker-Peters,DEF,Aston Villa,1.6,0,0,0,0,0.0,375,10,0,0,0.0,0.0,2021-08-15T15:30:00Z,0,12,0,0,0,0,1,0,22204,0,1,0.0,0,0,0,0,60,True,0,1
Pierre-Emile Højbjerg,MID,Sheffield Utd,1.2,0,0,0,0,0.0,396,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,13068,2,3,0.0,0,0,0,0,45,True,0,1
Matty James,MID,Chelsea,2.4,0,0,0,0,0.0,222,7,0,0,0.0,0.0,2021-08-14T16:30:00Z,0,15,0,0,0,0,1,0,47909,3,0,0.0,0,0,0,0,50,False,0,1
Oliver Norwood,MID,Everton,1.0,0,0,3,0,0.9,349,4,1,0,2.0,0.6,2021-08-14T14:00:00Z,10,8,0,0,0,0,1,0,7483,1,3,18.0,1,0,0,0,45,False,0,1
Pablo Marí,DEF,Southampton,2.7,0,0,14,0,16.8,10,1,2,0,4.2,13.2,2021-08-13T19:00:00Z,80,3,0,0,0,0,1,0,26222,0,2,12.0,1,0,0,0,45,False,0,1
Tammy Abraham,FWD,Fulham,1.6,0,0,10,0,30.6,118,2,2,0,5.2,21.6,2021-08-14T14:00:00Z,78,4,0,0,0,0,1,0,20227,2,1,0.0,2,0,0,0,60,True,0,1
Roberto Jimenez Gago,GK,Leicester,0.0,0,0,0,0,0.0,433,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,9,0,0,0,0,1,0,408,0,1,0.0,0,0,0,0,45,False,0,1
Ben Gibson,DEF,Crystal Palace,0.0,0,0,0,0,0.0,94,1,0,0,0.0,0.0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,93320,0,2,0.0,0,0,0,0,40,True,0,1
Timothy Fosu-Mensah,DEF,Arsenal,0.0,0,0,0,0,0.0,312,9,0,0,0.0,0.0,2021-08-15T13:00:00Z,0,19,0,0,0,0,1,0,9525,4,2,0.0,0,0,0,0,45,True,0,1
Brandon Pierrick,MID,Leeds,1.2,0,0,0,0,0.0,147,3,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,6,0,0,0,0,1,0,9200,0,3,0.0,0,0,0,0,45,False,0,1
Joel Ward,DEF,Liverpool,3.4,0,0,6,1,12.8,134,3,0,0,4.0,1.2,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,0,335608,0,3,26.0,2,0,0,0,90,True,0,1
Alexis Mac Allister,MID,Crystal Palace,0.8,0,1,30,1,0.0,80,1,0,0,2.8,27.8,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,4,96605,0,2,0.0,8,0,0,0,45,True,0,1
Kepa Arrizabalaga,GK,Fulham,2.8,0,0,17,0,0.0,112,2,2,0,3.0,30.0,2021-08-14T14:00:00Z,90,4,0,0,0,0,1,4,280784,2,1,0.0,2,0,0,0,55,True,0,1
Anwar El Ghazi,MID,Wolves,2.7,0,0,15,0,1.3,45,8,3,0,2.3,19.6,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,75220,2,3,2.0,1,0,0,0,50,False,0,1
Thiago Thiago,DEF,Newcastle,1.3,0,0,0,0,0.0,490,6,0,0,0.0,0.0,2021-08-14T11:30:00Z,0,13,0,0,0,0,1,0,9800,1,5,0.0,0,0,0,0,45,False,0,1
Gabriel Teodoro Martinelli Silva,MID,Southampton,2.9,0,0,7,0,22.4,26,1,1,0,3.6,2.2,2021-08-13T19:00:00Z,70,3,0,0,0,0,1,0,25036,0,2,11.0,2,0,0,0,55,False,0,1
Diego Llorente,DEF,Leicester,0.5,0,0,0,0,0.0,549,5,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,9,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,40,False,0,1
Lys Mousset,FWD,Aston Villa,2.8,0,2,27,1,19.7,359,10,0,1,9.4,32.8,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,1412718,0,1,41.0,10,0,0,0,100,True,0,1
Willy Caballero,GK,Fulham,0.5,0,0,3,0,1.1,101,2,2,0,1.4,0.8,2021-08-14T14:00:00Z,84,4,0,0,0,0,1,0,7356,2,1,12.0,2,0,0,0,45,True,0,1
Harry Winks,MID,Sheffield Utd,0.5,0,0,0,0,0.0,397,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,2,0,0,0,0,1,0,6842,2,3,0.0,0,0,0,0,45,True,0,1
Matthew Cash,DEF,Wolves,1.5,0,0,0,0,0.0,496,8,0,0,0.0,0.0,2021-08-14T14:00:00Z,0,18,0,0,0,0,1,0,8453,2,3,0.0,0,0,0,0,45,False,0,1
