assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,0,192895,None,,0,0,-1,1,0.0,528,209,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kieran,0.0,520,201,0,0,0,0.0,545,210,24,False,0.0,540,210,0,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,44,516,126,0,0,None,0,,192895.jpg,0.0,546,209,0,0,0,Tierney,0.1,373,143,False,None,0,0,u,1,3,0.0,508,202,0,2665,0,25144,476,0.0,0.0,Tierney,0
0,0,27,100,100,1,0.69,223723,None,,0,0,0,0,11.0,297,102,None,,0,2,1.0,1.0,0,0.07,0.05,0.10,0.07,0.03,2.85,1.97,0.02,Takehiro,0.5,318,106,1,0.69,0,3.0,341,121,25,False,12.8,325,124,130,,2023-08-22T00:00:07.272418Z,45,390,76,0,0,None,0,,223723.jpg,1.5,274,90,1,0,0.0,Tomiyasu,0.2,293,112,False,None,1,0.69,a,1,3,9.0,281,91,6,10005,402,15337,744,0.1,1.3,Tomiyasu,0
0,3,53,75,None,1,0.7,116216,None,,0,0,-4,4,77.1,77,56,None,,1,3,2.6,3.5,0,0.74,0.52,0.83,0.58,0.09,1.47,1.03,0.06,Leandro,3.0,103,44,2,1.41,1,17.1,140,77,26,False,61.6,193,76,128,Hamstring injury - 75% chance of playing,2023-09-24T22:30:06.788217Z,66,42,25,0,0,None,0,,116216.jpg,4.3,53,23,0,0,0.0,Trossard,2.3,114,34,False,None,1,0.7,d,1,3,33.0,161,94,13,77926,5383,395240,12732,0.5,2.0,Trossard,0
1,2,118,None,None,2,0.33,198869,None,,0,0,0,0,104.1,45,9,None,,0,2,4.0,4.0,4,0.59,0.1,0.99,0.17,0.40,5.53,0.92,0.07,Benjamin,3.5,71,18,6,1.0,0,25.2,69,11,29,False,115.2,75,21,540,,None,55,105,8,0,0,None,0,,198869.jpg,3.7,93,28,0,0,0.0,White,8.9,45,12,False,None,6,1.0,a,1,3,33.0,160,34,22,215209,13290,283647,9699,0.6,4.0,White,1
0,0,0,0,0,0,0,84450,None,,0,0,0,0,0.0,710,307,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Granit,0.0,703,305,0,0,0,0.0,710,307,30,False,0.0,710,307,0,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,60,61,39,0,0,None,0,,84450.jpg,0.0,709,306,0,0,0,Xhaka,0.0,651,264,False,None,0,0,u,1,3,0.0,709,306,0,0,0,1124,10,0.0,0.0,Xhaka,0
0,1,70,None,None,1,0.32,206325,None,,0,0,-1,1,64.6,111,23,None,,0,2,3.3,3.3,1,0.25,0.08,0.33,0.11,0.08,3.11,1.0,0.03,Oleksandr,2.8,110,37,4,1.29,0,11.8,220,73,31,False,42.8,233,92,279,,None,49,259,29,0,0,None,0,,206325.jpg,2.4,178,61,0,0,0.0,Zinchenko,5.2,73,27,False,None,3,0.97,a,1,3,10.0,273,87,12,144384,12255,307789,7640,0.6,2.4,Zinchenko,0
0,2,45,None,None,1,0.5,154561,None,,0,0,-2,2,0.0,642,77,None,,0,1,3.0,3.0,2,0.00,0.0,0.00,0.0,0.00,1.80,0.9,0.0,David,2.5,120,12,2,1.0,0,3.6,326,22,113,False,35.8,253,22,180,,None,48,300,11,0,0,None,0,,154561.jpg,5.0,30,2,0,4,2.0,Raya Martin,2.7,105,15,False,None,2,1.0,a,1,3,0.0,637,76,10,61869,19384,287824,3146,0.5,2.1,Raya,0
0,3,109,75,None,2,0.36,204480,None,,0,0,-1,1,54.8,131,91,None,,1,3,3.4,4.5,1,0.42,0.08,1.09,0.2,0.67,4.82,0.88,0.12,Declan,4.0,51,23,5,0.91,1,25.2,68,42,540,False,126.6,62,25,495,Back injury - 75% chance of playing,2023-09-24T22:30:08.321972Z,54,128,81,0,0,None,0,,204480.jpg,3.5,99,42,0,0,0.0,Rice,5.1,74,20,False,None,6,1.09,d,1,3,70.0,82,45,21,133605,9698,276095,19468,0.7,3.9,Rice,0
0,0,7,100,100,0,0.0,200641,None,,0,0,-1,1,19.8,236,128,None,,0,3,1.0,1.0,1,0.09,0.58,0.11,0.71,0.02,0.18,1.16,0.13,Reiss,0.5,329,157,0,0.0,0,3.4,331,150,578,False,6.2,367,165,14,,2023-08-07T15:30:06.067296Z,49,255,169,0,0,None,0,,200641.jpg,1.0,366,168,0,0,0.0,Nelson,0.0,542,199,False,None,0,0.0,a,1,3,8.0,294,149,2,983,127,1861,69,0.1,0.4,Nelson,0
0,0,3,0,0,0,0.0,445122,None,,0,0,-3,3,2.4,341,125,None,,0,2,0.0,0.0,0,0.01,0.02,0.01,0.02,0.00,0.28,0.51,0.0,Jurriën,0.0,631,222,0,0.0,0,0.6,393,139,585,False,3.6,384,139,49,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,47,334,40,0,0,None,0,,445122.jpg,0.0,647,228,0,0,0.0,Timber,0.6,201,76,False,None,1,1.84,i,1,3,0.0,633,228,0,11281,39,460893,1798,0.0,0.0,J.Timber,1
