first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Bobby,Decordova-Reid,5,1,69,1762,20,191.6,318.2,412.0,6,281,92.2,9,0,6,0.7,53,FWD
Joe,Bryan,0,1,13,464,13,56.2,73.2,47.0,0,88,17.6,0,0,2,0.3,45,DEF
Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,GK
Aleksandar,Mitrović,3,3,58,1200,21,290.0,243.4,605.0,7,170,112.1,1,0,3,3.4,55,FWD
Alfie,Mawson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
Marek,Rodák,0,0,1,90,3,0.0,18.2,0.0,0,11,1.8,0,0,0,0.3,43,GK
Ivan Ricardo,Neves Abreu Cavaleiro,3,0,71,1939,32,447.2,279.2,472.0,4,201,119.9,6,0,2,0.1,53,MID
Josh,Onomah,0,0,7,168,8,8.3,17.8,31.0,0,13,5.5,0,0,1,0.0,46,MID
Jean Michaël,Seri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,46,MID
Aboubakar,Kamara,0,0,8,307,9,76.8,22.6,39.0,0,14,13.2,0,1,1,0.0,48,MID
André-Frank,Zambo Anguissa,0,3,65,2087,30,320.7,424.0,220.0,4,330,96.6,6,0,5,1.4,45,MID
Zeze Steven,Sessegnon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
Harrison,Reed,0,3,62,2028,30,293.0,389.2,76.0,0,350,76.0,8,0,5,0.6,44,MID
Antonee,Robinson,0,0,51,1799,22,375.1,371.2,151.0,1,336,90.0,5,1,4,0.2,44,DEF
Mario,Lemina,1,0,44,1259,20,151.0,208.2,103.0,3,206,46.4,3,0,3,0.3,45,MID
Alphonse,Areola,0,0,111,2700,38,0.0,723.0,0.0,8,553,72.1,9,0,0,5.2,46,GK
Kenny,Tete,0,1,46,1153,19,276.4,275.8,79.0,3,242,63.2,5,0,2,0.2,43,DEF
Denis,Odoi,0,0,1,270,10,20.8,35.4,8.0,0,34,6.4,0,0,1,0.1,42,DEF
Ademola,Lookman,4,4,96,2320,26,768.4,478.0,800.0,8,330,204.7,9,0,4,2.8,51,MID
Ola,Aina,2,1,93,2340,31,235.2,450.6,136.0,8,430,82.2,7,0,2,2.6,45,DEF
Joachim,Andersen,1,1,87,2221,27,105.3,476.8,123.0,7,429,70.7,9,1,4,0.5,45,DEF
Tosin,Adarabioyo,0,1,92,2430,30,56.2,547.0,197.0,11,483,80.4,9,0,1,0.8,45,DEF
Terence,Kongolo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43,DEF
